,Unnamed: 0,PlaylistID,PlaylistName,Category,SubCategory,AvgDuration
0,936,5195,Hỏa Ngục,Truyện nói,Trinh thám,315.5777777777778
1,246,4313,Thần Hổ,Truyện nói,Kinh điển Việt Nam,284.8
2,388,4488,Ác Mộng Trong Đêm,Truyện nói,Trinh thám,205.9
3,345,4431,Tái Tạo Tổ Chức,Sách nói,Kỹ năng,193.6
4,925,5178,Triết Học Cho Người Không Chuyên,Sách nói,Kỹ năng,179.4
5,820,5036,Cạm Bẫy Trong Quản Lý,Sách nói,Lãnh đạo,170.975
6,393,4494,Vì Gió Ở Nơi Ấy,Truyện nói,Ngôn tình,159.3
7,538,4679,Sức mạnh của ngôn từ,Sách nói,Kỹ năng,157.675
8,695,4874,Bản Năng,Truyện nói,Văn học Quốc tế Hiện đại,156.3
9,675,4851,Tại sao cần đơn giản?,Sách nói,Kỹ năng,155.56
10,900,5143,Khám Phá Những Điều Phi Thường,Sách nói,Thành công,148.4666666666667
11,46,3902,Mao Sơn Chính Tông,Podcast,Kinh dị,137.1
12,381,4475,Tôi Dám Thách Thức Với Thời Gian,Truyện nói,Văn học Quốc tế Hiện đại,133.0
13,489,4612,Muôn Kiếp Nhân Sinh - Tập 1,Sách nói,Tâm linh,132.7038934426229
14,223,4281,Truyện Ngắn Nam Cao 1 - Chí Phèo,Truyện nói,Kinh điển Việt Nam,130.7
15,73,3938,[Sách Tóm Tắt] Chinh Phục Mục Tiêu!,Sách tóm tắt,Sách tóm tắt,126.5
16,368,4460,Hang Dã Thú,Truyện nói,Trinh thám,126.4666666666667
17,778,4984,Kim Bình Mai 2,Truyện nói,Kinh điển Quốc tế,125.9
18,955,5218,Đại Thần Em Nuôi Anh - Tập 2,Truyện nói,Ngôn tình,125.3
19,500,4624,Khoảng trời bình yên cho tuổi Teen,Sách nói,Con cái,124.8
20,369,4461,Quân Tử Chi Giao Phần 1 (Ngôn Tình - Đam Mỹ),Truyện nói,Ngôn tình,123.7
21,331,4417,Dê Con Nhanh Trí,Thiếu nhi,Thiếu nhi,123.0666666666667
22,661,4834,Cẩm Nang Con Trai,Sách nói,Kỹ năng,122.8
23,639,4807,Giải Mã Trí Tuệ Cảm Xúc,Sách nói,Kỹ năng,121.25
24,383,4477,Sẽ Có Thiên Thần Thay Anh Yêu Em,Truyện nói,Ngôn tình,118.8
25,860,5091,Kỳ Nghỉ Hè Tươi Đẹp,Sách nói,Con cái,117.5
26,910,5157,Để thế giới biết bạn là ai,Sách nói,Thành công,116.2
27,348,4436,Người Lớn Không Khóc,Truyện nói,Văn học VN Hiện đại,111.14
28,911,5158,Đúng Việc,Sách nói,Thành công,108.6
29,624,4785,Kiến Phật,Sách nói,Tâm linh,106.5
30,365,4456,Trúng Số Độc Đắc,Truyện nói,Kinh điển Việt Nam,104.1
31,840,5059,Thiền - Con Đường Giác Ngộ,Podcast,Pháp thoại,103.68
32,416,4525,Cha Tôi Tổng Thống Thứ 41 Của Hoa Kỳ,Sách nói,Danh nhân,101.825
33,74,3940,[Sách Tóm Tắt] Chú Chó Nhìn Thấy Gì,Sách tóm tắt,Sách tóm tắt,100.7666666666667
34,693,4871,Blog Cho Tâm Hồn 1,Sách nói,Hạnh phúc,96.00000000000001
35,766,4968,Bỉ Vỏ,Truyện nói,Kinh điển Việt Nam,95.8
36,782,4988,Oliver Twist,Truyện nói,Kinh điển Quốc tế,95.49999999999999
37,716,4908,Bên Rặng Tuyết Sơn ,Sách nói,Tâm linh,94.40526315789471
38,922,5173,Lãnh Đạo Tỉnh Thức,Sách nói,Lãnh đạo,92.34285714285714
39,717,4909,Đường Mây Qua Xứ Tuyết ,Sách nói,Tâm linh,91.08809523809525
40,696,4875,Bí Mật Chiếc Xô Cảm Xúc,Sách nói,Hạnh phúc,90.3
41,99,4068,[Sách Tóm Tắt] Những Điều Trường Harvard Vẫn Không Dạy Bạn,Sách tóm tắt,Sách tóm tắt,90.0
42,158,4194,"Nghịch Lý Rau Củ Quả: Sự ""Trả Thù"" Của Thực Vật!",Sách nói,Sức khoẻ,89.67272727272727
43,769,4973,Đảo Giấu Vàng,Truyện nói,Kinh điển Quốc tế,86.73333333333333
44,644,4813,Đại Thần Em Nuôi Anh - Tập 1,Truyện nói,Ngôn tình,85.9
45,45,3901,Tạm Biệt Alzheime,Sách nói,Sức khoẻ,85.80000000000001
46,439,4556,Nhõng Nhẽo Gặp Đa Tình ,Truyện nói,Ngôn tình,85.05
47,77,3952,[Sách Tóm Tắt] Cuộc Cách Mạng Nền Tảng,Sách tóm tắt,Sách tóm tắt,83.89999999999999
48,788,4995,Trà Hoa Nữ,Truyện nói,Kinh điển Quốc tế,83.4
49,785,4992,Sherlock Holmes 1 - Dải Băng Lốm Đốm,Truyện nói,Kinh điển Quốc tế,82.74545454545454
50,891,5129,Luôn Là Cảm Hứng,Sách nói,Lãnh đạo,82.1
51,502,4627,Trở về từ xứ tuyết,Sách nói,Tâm linh,81.35656565656564
